USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
Zeptimus#3359,0xaa79b87dc8b046a5e4f7d03f1562d7fe5bf98737,449.0852459016393,28.03783783783784,156.0,29.450000000000003,506.57308373947717
Vitor Marthendal#0090,missing user address,486.9295081967213,0.0,0.0,0.0,486.9295081967213
natesuits#4789,missing user address,484.4065573770492,0.0,0.0,0.0,484.4065573770492
iviangita#3204,missing user address,429.7426229508197,0.0,0.0,0.0,429.7426229508197
chuygarcia.eth#6692,missing user address,428.0606557377049,0.0,0.0,0.0,428.0606557377049
"griff (💜, 💜)#8888",missing user address,380.12459016393444,0.0,0.0,0.0,380.12459016393444
divine_comedian#5493,0x320c338bcf70baaae26e96201c33b48105bc62c2,304.4360655737705,32.351351351351354,180.0,0.0,336.7874169251219
Mount Manu#3530,0xa2ef65aececb83cd1bd3579a8669779099317952,303.5950819672131,32.351351351351354,180.0,0.0,335.94643331856446
liviade#1387,0xf8d1d34956cea24718cf8687588d6fedbc6d9aa6,316.20983606557377,0.0,0.0,0.0,316.20983606557377
karmaticacid#1218,missing user address,313.68688524590164,0.0,0.0,0.0,313.68688524590164
markop#2007,missing user address,234.6344262295082,0.0,0.0,0.0,234.6344262295082
Juankbell#7458,missing user address,228.74754098360657,0.0,0.0,0.0,228.74754098360657
Tam2140#9361,0xcf79c7eaec5bdc1a9e32d099c5d6bdf67e4cf6e8,172.4016393442623,32.351351351351354,180.0,0.0,204.75299069561365
Dan Knobelsdorf#326,missing user address,201.8360655737705,0.0,0.0,0.0,201.8360655737705
Suga#8514,missing user address,195.1081967213115,0.0,0.0,0.0,195.1081967213115
anna-marie#8824,missing user address,178.28852459016395,0.0,0.0,0.0,178.28852459016395
acidlazzer#5796,0x8aa27e90e139d5ab5704df69429341cbcb2d2464,141.28524590163934,32.351351351351354,180.0,0.0,173.6365972529907
Nuggan#5183,0x0bf920dfe6d36829ab5b0e153857d4ca689e46fb,142.12622950819673,0.0,0.0,29.450000000000003,171.57622950819672
pKrepe#5682,missing user address,169.03770491803277,0.0,0.0,0.0,169.03770491803277
eduardovegap#0422,0x1d921dff757610fbdb0073479e12c0a07d382677,115.21475409836066,32.351351351351354,180.0,0.0,147.566105449712
fabiomendes#4802,missing user address,141.28524590163934,0.0,0.0,0.0,141.28524590163934
elessar.eth#7945,missing user address,137.92131147540982,0.0,0.0,0.0,137.92131147540982
sem  🐝#0161,missing user address,135.3983606557377,0.0,0.0,0.0,135.3983606557377
David (please DYOR...)#4116,missing user address,132.0344262295082,0.0,0.0,0.0,132.0344262295082
akrtws (TE Academy)#4246,missing user address,121.94262295081967,0.0,0.0,0.0,121.94262295081967
ZER8🧠#9093,missing user address,88.30327868852459,0.0,0.0,0.0,88.30327868852459
JessicaZartler#2263,missing user address,88.30327868852459,0.0,0.0,0.0,88.30327868852459
Kris#8703,missing user address,88.30327868852459,0.0,0.0,0.0,88.30327868852459
ALOYSIOUS#3049,missing user address,77.3704918032787,0.0,0.0,0.0,77.3704918032787
🐙 octopus#5508,missing user address,73.1655737704918,0.0,0.0,0.0,73.1655737704918
shawn#7046,0xc68e8827fc1dd3b2bc94ca8b0228268f16dd6cf6,69.8016393442623,0.0,0.0,0.0,69.8016393442623
santigs#9769,missing user address,68.96065573770491,0.0,0.0,0.0,68.96065573770491
kristofer#1475,0xa32aecda752cf4ef89956e83d60c04835d4fa867,6.727868852459016,32.351351351351354,180.0,29.450000000000003,68.52922020381038
mheuer#9922,missing user address,68.11967213114754,0.0,0.0,0.0,68.11967213114754
AmwFund#0979,0x536c7e8f18d09d04697e0d2624b44bba575388c2,33.63934426229508,32.351351351351354,180.0,0.0,65.99069561364644
durgadas#9280,missing user address,63.91475409836066,0.0,0.0,0.0,63.91475409836066
Vyvy-vi#5040,0x2fa130927814b590623031e846f059df9554fdde,30.275409836065574,32.351351351351354,180.0,0.0,62.62676118741693
freshelle#9882,missing user address,60.55081967213115,0.0,0.0,0.0,60.55081967213115
Caeser (PST)#0046,missing user address,56.34590163934426,0.0,0.0,0.0,56.34590163934426
jukren#8803,missing user address,53.82295081967213,0.0,0.0,0.0,53.82295081967213
ygg_anderson#4998,missing user address,50.459016393442624,0.0,0.0,0.0,50.459016393442624
BK#7471,missing user address,47.09508196721311,0.0,0.0,0.0,47.09508196721311
mateodaza#3156,missing user address,47.09508196721311,0.0,0.0,0.0,47.09508196721311
innov8tor3#3988,0xbcad90f4a1ed4067d9bc33d4089ff18a82250253,10.091803278688525,32.351351351351354,180.0,0.0,42.44315463003988
Mettodo#7010,0x7710e7e881333fd3396ca5966bed6e72746b612d,8.40983606557377,32.351351351351354,180.0,0.0,40.761187416925125
JeffEmmett#7202,missing user address,38.68524590163935,0.0,0.0,0.0,38.68524590163935
hernandoagf#3014,missing user address,37.84426229508197,0.0,0.0,0.0,37.84426229508197
ddan#2489,missing user address,37.00327868852459,0.0,0.0,0.0,37.00327868852459
calazki#3961,0xf48d4780a886900c263e72d475b1d8b0c7e5a987,0.0,32.351351351351354,180.0,0.0,32.351351351351354
teaci#6108,0x1be3505328880f1f204c664d430a9d2817d9d4cc,0.0,32.351351351351354,180.0,0.0,32.351351351351354
Usua◎ Silver#2618,0x914c0e63f98a091e74b7c5e78993bb8de735ae74,0.0,32.351351351351354,180.0,0.0,32.351351351351354
Sha#6179,0x46d79ec988a2f603477e81ff2c0c7edef3901145,0.0,32.351351351351354,180.0,0.0,32.351351351351354
PhilH#1102,0xaa01dec5307cf17f20881a3286dcaa062578cea7,0.0,32.351351351351354,180.0,0.0,32.351351351351354
Parrachia#0450,0xe42f8e2c4b778fcd572c55e457ed77db4cb20a69,0.0,32.351351351351354,180.0,0.0,32.351351351351354
bends#3537,0x1e975f53956d644868f3ea25690b1bbeda658565,0.0,32.351351351351354,180.0,0.0,32.351351351351354
trangnv#2156,missing user address,31.95737704918033,0.0,0.0,0.0,31.95737704918033
missing username,0x826976d7c600d45fb8287ca1d7c76fc8eb732030,0.0,0.0,0.0,29.450000000000003,29.450000000000003
missing username,0x5303d37018b0e7e6f4fe8c706b7001735e5d430a,0.0,0.0,0.0,29.450000000000003,29.450000000000003
missing username,0xb22981ba3fe1de2325935c91a3b717168fb86714,0.0,0.0,0.0,29.450000000000003,29.450000000000003
missing username,0x00d18ca9782be1caef611017c2fbc1a39779a57c,0.0,0.0,0.0,29.450000000000003,29.450000000000003
missing username,0xdd505da2e2a8017f38a715948c6b6a2922ba27f0,0.0,0.0,0.0,29.450000000000003,29.450000000000003
missing username,0xf9c171fb0480fac34289cc5791519fec1d7978c3,0.0,0.0,0.0,29.450000000000003,29.450000000000003
JohnPaller | Opolis#2670,missing user address,28.59344262295082,0.0,0.0,0.0,28.59344262295082
Loie#2921,missing user address,26.07049180327869,0.0,0.0,0.0,26.07049180327869
nic#9212,missing user address,23.54754098360656,0.0,0.0,0.0,23.54754098360656
Jolie_Ze#0295,missing user address,23.54754098360656,0.0,0.0,0.0,23.54754098360656
solsista#5370,missing user address,18.501639344262294,0.0,0.0,0.0,18.501639344262294
geleeroyale#3228,missing user address,16.81967213114754,0.0,0.0,0.0,16.81967213114754
MehighCB#4516,missing user address,16.81967213114754,0.0,0.0,0.0,16.81967213114754
tigeroid#2951,0xd3898129d4acb0f8039b1b9d6367b236f1e6100f,0.0,16.355405405405406,91.0,0.0,16.355405405405406
NaN#6925,missing user address,14.29672131147541,0.0,0.0,0.0,14.29672131147541
OddName#8763,missing user address,14.296721311475409,0.0,0.0,0.0,14.296721311475409
osycross(🦎🦎)#5943,0xfe99402763531258875949d449db20157b77ec5c,0.0,12.041891891891893,67.0,0.0,12.041891891891893
enti#1546,0x6897abe0fd62b589260784b21f4ca3f78a0d8017,0.0,12.041891891891893,67.0,0.0,12.041891891891893
GideonRo#3175,0xb08f0ca73e8a59a1b7970e22b8ed2f9142c3fa53,10.932786885245902,0.0,0.0,0.0,10.932786885245902
Fortunov | Aragon#6678,missing user address,10.932786885245902,0.0,0.0,0.0,10.932786885245902
nathalia#0926,missing user address,10.091803278688525,0.0,0.0,0.0,10.091803278688525
Lisa JY Tan#3350,missing user address,9.250819672131147,0.0,0.0,0.0,9.250819672131147
Yineisy Mota#1449,missing user address,9.250819672131147,0.0,0.0,0.0,9.250819672131147
Cyber Rabbit#3221,missing user address,9.250819672131147,0.0,0.0,0.0,9.250819672131147
Media#1337,missing user address,8.40983606557377,0.0,0.0,0.0,8.40983606557377
MisterBoyfriend#7096,missing user address,7.568852459016394,0.0,0.0,0.0,7.568852459016394
pab🐝🐙#6151,missing user address,7.5688524590163935,0.0,0.0,0.0,7.5688524590163935
JustinKalland#0001,missing user address,7.5688524590163935,0.0,0.0,0.0,7.5688524590163935
taxil#8577,missing user address,6.727868852459016,0.0,0.0,0.0,6.727868852459016
WhyldWanderer#7002,missing user address,6.727868852459016,0.0,0.0,0.0,6.727868852459016
mZ#3472,missing user address,6.727868852459016,0.0,0.0,0.0,6.727868852459016
bradleyc#3333,missing user address,6.727868852459016,0.0,0.0,0.0,6.727868852459016
Peter (porobov.eth) 🤖#3488,missing user address,5.88688524590164,0.0,0.0,0.0,5.88688524590164
Letty#5399,missing user address,5.886885245901639,0.0,0.0,0.0,5.886885245901639
glocalvr#3469,missing user address,5.045901639344263,0.0,0.0,0.0,5.045901639344263
mafer_cordovas#1034,missing user address,5.045901639344263,0.0,0.0,0.0,5.045901639344263
gijsspoor#0183,missing user address,4.204918032786885,0.0,0.0,0.0,4.204918032786885
jori#5279,missing user address,4.204918032786885,0.0,0.0,0.0,4.204918032786885
T-Rossi#1714,missing user address,4.204918032786885,0.0,0.0,0.0,4.204918032786885
storypup#2167,missing user address,3.363934426229508,0.0,0.0,0.0,3.363934426229508
KZ Flyer#0926,missing user address,3.363934426229508,0.0,0.0,0.0,3.363934426229508
BiancaGadelha#2667,missing user address,3.363934426229508,0.0,0.0,0.0,3.363934426229508
Pronoia🐙🦘#2154,missing user address,2.5229508196721313,0.0,0.0,0.0,2.5229508196721313
Mensch#5604,missing user address,2.5229508196721313,0.0,0.0,0.0,2.5229508196721313
Kojak#5611,missing user address,2.5229508196721313,0.0,0.0,0.0,2.5229508196721313
DaveW#9619,missing user address,2.5229508196721313,0.0,0.0,0.0,2.5229508196721313
Adam B#4867,missing user address,2.5229508196721313,0.0,0.0,0.0,2.5229508196721313
xm3van#0929,missing user address,1.681967213114754,0.0,0.0,0.0,1.681967213114754
Lin#3884,missing user address,1.681967213114754,0.0,0.0,0.0,1.681967213114754
GCF#3655,missing user address,1.681967213114754,0.0,0.0,0.0,1.681967213114754
Sukanshi | MultiSafe#9407,missing user address,1.681967213114754,0.0,0.0,0.0,1.681967213114754
Atotsm#5719,missing user address,1.681967213114754,0.0,0.0,0.0,1.681967213114754
Ekeneodigwe#1502,missing user address,1.681967213114754,0.0,0.0,0.0,1.681967213114754
Jsimbouras#2339,missing user address,1.681967213114754,0.0,0.0,0.0,1.681967213114754
drllau#2628,missing user address,0.840983606557377,0.0,0.0,0.0,0.840983606557377
Tarun Gupta | MultiSafe#9929,missing user address,0.840983606557377,0.0,0.0,0.0,0.840983606557377
T Wells#9070,missing user address,0.840983606557377,0.0,0.0,0.0,0.840983606557377
